,Links
37,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/touch-screen-laptops/lenovo-flex-5-new-12gen-intel-core-i7-10-cores-2-in-1-stylish-dynamic-design-w-360-touch-display-storm-grey
38,https://citycenter.jo/computer-hardware-storage/synology-diskstation-ds225-2-bay-diskless-nas-server-w-intel-celeron-j4125-4-core-cpu-2gb-ddr4-ram
39,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/gaming-laptop/asus-rog-strix-g16-2025-g615lp-new-intel-core-ultra-7-gen-ii-255hx-20-cores-w-nvidia-rtx-5070-8gb-ddr7-2-5k-ips-240hz-display-volt-green
40,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/business-laptop/lenovo-new-thinkpad-edge-e14-gen-7-2025-intel-ultra-7-gen-ii-255h-high-performance-16-core-intel-ai-boost-w-ddr5-memory-backlit-keyboard
41,https://citycenter.jo/gaming/gaming-peripherals/power-protection-upss/battery-charger/mcdodo-mc-8361-magnetic-power-bank-5000mah-with-screen-slim-metal-rotating-stand-20w-fast-charging-design-for-office-home-use-black
42,https://citycenter.jo/gaming/gaming-peripherals/keyboard/wireless/lenovo-100-wireless-combo-keyboard-with-mouse-arabic-english-back
43,https://citycenter.jo/computer-hardware-audio/audio-mic/hp-hyperx-solocast-usb-condenser-gaming-microphone-for-pc-ps4-and-mac
44,https://citycenter.jo/computer-hardware-monitor-and-display/ch-gaming-monitors/samsung-27-odyssey-g4-ips-full-hd-240hz-1ms-g-sync-compatible-ergonomic-stand-gaming-monitor
45,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/lightweight-laptop/lenovo-thinkpad-new-p14s-gen-4-amd-ryzen-7-pro-7gen-8-core-lightest-mobile-workstation-w-high-speed-ddr5-memory-black
46,https://citycenter.jo/computer-hardware-monitor-and-display/asus-proart-pa279crv-27-ips-4k-hdr400-99-dci-p3-99-adobe-rgb-calman-verified-usb-c-pd-96w-adjustable-stand
47,https://citycenter.jo/computer-hardware-monitor-and-display/asus-proart-pa27ac-professional-27-2k-ips-100-adobe-srgb
48,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/microsoft-surface/microsoft-copilot-pc-new-7th-edition-2024-snapdragon-x-plus-10-cores-ai-accelerated-sleek-modern-design-w-2-3k-120hz-display-black
49,https://citycenter.jo/computer-hardware/components-solid-state-drive-ssd/kingston-fury-renegade-g5-2tb-pcie-5-0-nvme-m-2-ssd-up-to-14-700mb-s
50,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/lenovo-new-ideapad-slim-3-2025-13th-gen-intel-core-i7-13620h-10-cores-high-performance-processor-w-ddr5-memory-ips-full-hd-display-luna-grey
51,https://citycenter.jo/gaming/graphic-card-gaming/desktop-graphics-cards/msi-geforce-rtx-5060-gaming-trio-oc-8gb-gddr7-128-bit-memory-2625-mhz-boost-clock-28-gbps-memory-speed-3840-cuda-cores-pci-express-gen-5-x16
52,https://citycenter.jo/gaming/gaming-storage-drive/usb-flash-drives/sandisk-128gb-ixpand-flash-drive-flip-2-in-1-flash-drive-w-lightning-usb-type-a-connectors-password-protect-easily-free-up-space-your-iphone-sea-green
53,https://citycenter.jo/pc-and-laptops/cc-power-9070-117-gaming-pc-14gen-intel-core-i5-k-series-14-cores-w-w-amd-radeon-rx-9070-16gb-ddr6-advanced-air-cooler
54,https://citycenter.jo/computer-hardware-peripherals/peripherals-mouse/logitech-g600-mmo-wired-usb-gaming-mouse-black
55,https://citycenter.jo/gaming/gaming-peripherals/power-protection-upss/anker-power-bank-battery-pack-20-000mah-22-5w-high-speed-charging-portable-charger-with-built-in-usb-c-cable-1-usb-c-1-usb-a-for-iphone-15-15-plus-15-pro-15-pro-max-macbook-galaxy-purple
56,https://citycenter.jo/computer-hardware/components-memory-ram/memory-ram-notebook-dram/g-skill-4gb-204-pin-ddr3-so-dimm-ddr3-1333-pc3-10666
57,https://citycenter.jo/gaming/gaming-peripherals/keyboard/wireless/logitech-mx-mechanical-wireless-backlit-keys-bluetooth-usb-c-macos-windows-linux-ios-android-metal-clicky
58,https://citycenter.jo/gaming/gaming-monitor/gaming-monitors/msi-mag-275f-27-rapid-ips-full-hd-0-5ms-180hz-ai-vision-adaptive-sync-w-2x-hdmi-displayport-interface-black
59,https://citycenter.jo/computer-hardware/components-cpu-and-processor/intel-new-12gen-core-i7-12700f-12-cores-up-to-4-9-ghz-37mb-trey
60,https://citycenter.jo/computer-hardware/components-power-supply/asus-rog-strix-1000w-80-gold-psu-premium-cooling-performance
61,https://citycenter.jo/gaming/gaming-peripherals/printer-scanner?page=11
62,https://citycenter.jo/gaming/gaming-diy-water-cooling/accessories/cooling-liquids-coolants/ek-cryofuel-blood-red-concentrate-100-ml
63,https://citycenter.jo/gaming/gaming-storage-drive/hard-drives/desktop-external-hdds/wd-my-book-12tb-usb-3-0-desktop-hard-drive
64,https://citycenter.jo/computer-hardware-audio/audio-sound-card/creative-sound-blasterx-ae-5-plus-32-bit-384-khz-pci-e-interface-sound-card
65,https://citycenter.jo/computer-hardware-storage/internal-external-hdds/western-digital-black-wd1003fzex-1tb-7200rpm
66,https://citycenter.jo/gaming/gaming-peripherals/mouse/wire/logitech-new-g502-x-hero-25k-sensor-wired-lightforce-hybrid-optical-mechanical-primary-switches-for-pc-macos-windows-black
67,https://citycenter.jo/gaming/gaming-peripherals/mouse-pad/steelseries-63826-qck-gaming-surface-xl-rgb-prism-cloth
