urls,categories
https://compujordan.com/cooler-master-mwe-bronze-650-80-plus-bronze-certified-atx-psu,"{'Gaming Components', 'Computer Hardware', 'Storage', 'Gaming', 'Components'}"
https://compujordan.com/gigabyte-h610m-k-ddr4-socket-1700-h610-ddr4-s-ata-6gb-s-micro-atx,"{'Gaming Components', 'Computer Hardware', 'Storage', 'Gaming', 'Components'}"
https://compujordan.com/gigabyte-b760-ds3h-ax-ddr4-lga-1700-atx-ddr4-m-2-pcie-4-0-realtek-wi-fi-realtek-gbe-lan-q-flash-plus-pcie-ez-latch-motherboard,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/gigabyte-b760m-h-ddr4-rev-1-0-socket-1700-b760-ddr4-s-ata-6gb-s-micro-atx-motherboard,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/cooler-master-elite-nex-white-w700-230v-700w-80-white-entry-level-durable-safe-power-supply,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/cooler-master-hyper-212-spectrum-v3-cpu-air-cooler-rgb,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/thermalright-assassin-spirit-120-v2-plus,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/asus-tuf-gaming-geforce-gtx-1650-v2-oc-edition-4gb-gddr6,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/asus-tuf-gaming-geforce-rtx-4060-ti-8gb-gddr6-oc-edition-gaming-graphics-card,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/xigmatek-gaming-x-case,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/xigmatek-gaming-z-pro-case-bk-eatx-usb3-0x1-usb2-0x2-metal,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/xigmatek-gaming-z-case-bk-atx-usb3-0x1-usb2-0x2-metal-mes,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/xigmatek-anubis-pro-4fx-case-eatx-u3x1-u2x2-left-magnetic,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/kingston-32gb-5600mt-s-ddr5-non-ecc-cl46-sodimm-2rx8,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/kingston-16gb-3200mt-s-ddr4-non-ecc-cl22-sodimm-1rx8,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/asus-rog-strix-750-fully-modular-80-gold-750w-0db-axial-tech-fan,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/seasonic-prime-gx-850-850w-80-gold-full-modular-fan-control-in-fanless-silent-cooling-mode,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/seasonic-prime-tx-850-850w-80-titanium-full-modular-fan-control-in-fanless-silent-cooling-mode,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/asus-prime-h610m-k-d4-intel-12th-gen-motherboard-pcie-4-0-ddr4-1xm-2-slots-usb-3-2-gen-1,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/fantech-lc240-polar-rgb-liquid-cooling,"{'Gaming Components', 'Computer Hardware', 'Gaming', 'Components'}"
https://compujordan.com/cooler-master-masterbox-td500-mesh-black-mid-tower-tempered-glass-gaming-case,"{'Gaming Components', 'Computer Hardware', 'Storage', 'Gaming', 'Components'}"
https://compujordan.com/asus-rog-strix-z590-f-gaming-intel-z590-wifi-dual-m-2-rgb,"{'Gaming Components', 'Computer Hardware', 'Storage', 'Gaming', 'Components'}"
