,Links
58,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-32gb-sdxc-canvas-react-plus-300mb-s-read-for-uhs-ii-4k-8k-professional-cinema-cameras
59,https://citycenter.jo/computer-hardware-storage/storage-memory-card/samsung-evo-plus-w-sd-adaptor-64gb-micro-sdxc-memory-card-up-to-160mb-s-for-gaming-devices-android-tablets-smart-phones
60,https://citycenter.jo/pc-and-laptops/software/software-operating-system
61,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/fan-and-heatsink-custom-liquid-cooling/cooling-accessories
62,https://citycenter.jo/electronics/electronics-security-and-surveillance/ezviz-c8pf-security-camera-outdoor-1080p-pan-tilt-zoom-wifi-camera-8-mixed-zoom-and-ai-powered-person-detection-security-cam-ip65-waterproof-support-microsd-card-up-to-512gb
63,https://citycenter.jo/gaming/gaming-storage-drive/network-attached-storage-nas/desktop-nas
64,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/lightweight-laptop
65,https://citycenter.jo/computer-hardware/components-motherboard/desktop-intel-platform
66,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-128gb-sdxc-canvas-go-plus-170mb-s-c10-u3-v30-memory-card
67,https://citycenter.jo/computer-hardware-storage/storage-memory-card/samsung-evo-plus-w-sd-adaptor-128gb-micro-sdxc-memory-card-up-to-130mb-s-for-gaming-devices-android-tablets-smart-phones
68,https://citycenter.jo/gaming/gaming-peripherals/cable
69,https://citycenter.jo/gaming/gaming-peripherals/keyboard
70,https://citycenter.jo/electronics/electronics-camera
71,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/compression-acf/for-10-13mm-3-8-1-2-tubing
72,https://citycenter.jo/computer-hardware/components-video-card/video-card-pci-express-video-card
73,https://citycenter.jo/gaming/gaming-diy-water-cooling/radiator
74,https://citycenter.jo/gaming/gaming-monitor/gaming-monitors
75,https://citycenter.jo/gaming/gaming-storage-drive/hard-drives/desktop-external-hdds
76,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/compression-hdc/for-16mm-5-8-od-tubing
77,https://citycenter.jo/computer-hardware-monitor-and-display/portable-monitors
78,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/push-in-hd/for-16mm-5-8-od-tubing
79,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/fan-and-heatsink-liquid-cooling
80,https://citycenter.jo/peripherals-printer-and-scanner/printer-and-scanner-multifunction-printer/multifunction-printer-laser-printer/laser-printer-color/color-4-one-fax-print-copy-scan
81,https://citycenter.jo/gaming/gaming-diy-water-cooling/reservoirs
82,https://citycenter.jo/peripherals-printer-and-scanner/print-only/ink-printer
83,https://citycenter.jo/electronics/electronics-security-and-surveillance/eufy-security-indoor-cam-c220-2k-resolution-smart-security-camera-with-360-coverage-human-motion-detection-ai-tracking-compatible-with-alexa-and-google-assistant-night-vision
84,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-sdcs-32gb-canvas-select-32gb-class-10
85,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/fan-and-heatsink-custom-liquid-cooling/custom-liquid-cooling-fans
86,https://citycenter.jo/pc-and-laptops/pc-and-laptops-desktops/gaming-high-performace-pc/custom-gaming-pc/intel-power-systems
87,https://citycenter.jo/computer-hardware-storage/storage-memory-card/sandisk-extreme-pro-64gb-microsdxc-uhs-i-v30-200mb-s-read-140mb-s-write-memory-card-for-4k-video-on-smartphones-action-cams-drones
88,https://citycenter.jo/
89,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-64gb-microsdxc-canvas-go-plus-200mb-s-read-uhs-i-c10-u3-v30-memory-card
90,https://citycenter.jo/computer-hardware/components-case-and-chassis/mid-tower-case
91,https://citycenter.jo/computer-hardware-storage/storage-external-enclosure
92,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-sdcs2-128gb-canvas-select-plus-128gb-class-10
93,https://citycenter.jo/pc-and-laptops/pc-and-laptops-desktops/gaming-high-performace-pc/custom-gaming-pc
94,https://citycenter.jo/gaming/gaming-peripherals/mouse
95,https://citycenter.jo/electronics/electronics-security-and-surveillance/tp-link-tapo-c260-4k-pan-tilt-indoor-security-camera-for-baby-monitor-dog-camera-w-motion-detect-and-track-360-view-color-night-vision-sd-cloud-storage-works-w-alexa-google-and-bixby-roomcam-4k
96,https://citycenter.jo/gaming/gaming-monitor/multi-display-hub
97,https://citycenter.jo/pc-and-laptops/pc-and-laptops-desktops/gaming-high-performace-pc/custom-gaming-pc/intel-power-systems/core-i5-system
98,https://citycenter.jo/gaming/gaming-peripherals/gaming-accessories
99,https://citycenter.jo/electronics/electronics-security-and-surveillance/tp-link-tapo-c212-2k-3mp-pan-tilt-smart-home-security-wi-fi-camera-ai-detection-notification-sd-card-slot-voice-control
100,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/compression-hdc
101,https://citycenter.jo/peripherals-printer-and-scanner/printer-and-scanner-multifunction-printer/multifunction-printer-laser-printer/laser-printer-color
102,https://citycenter.jo/computer-hardware-storage/storage-memory-card/samsung-pro-ultimate-full-size-512gb-sdxc-memory-card-up-to-200-mb-s-4k-uhd-uhs-i-c10-u3-v30-a2-for-dslr-mirrorless-cameras-pcs
103,https://citycenter.jo/computer-hardware-storage/storage-memory-card/samsung-pro-ultimate-full-size-256gb-sdxc-memory-card-up-to-200-mb-s-4k-uhd-uhs-i-c10-u3-v30-a2-for-dslr-mirrorless-cameras-pcs
104,https://citycenter.jo/computer-hardware-audio
105,https://citycenter.jo/peripherals-printer-and-scanner/print-only/laser-print/black-white-print
106,https://citycenter.jo/gaming/gaming-cooling/cooling-hydro-cooler-all-one
107,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-256gb-sdxc-canvas-go-plus-170mb-s-c10-u3-v30-memory-card
108,https://citycenter.jo/computer-hardware/components-hard-drive
109,https://citycenter.jo/peripherals-printer-and-scanner/print-only/laser-print
110,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-64gb-micro-sdxc-class-10-flash-card
111,https://citycenter.jo/gaming/gaming-cases/cases-full-tower-case
112,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/fan-and-heatsink-custom-liquid-cooling/custom-liquid-cooling-fittings/fittings-push-hd
